personalParticipantCode;generalLoginCode;committed;scheduled;published;osVersion;smartphoneType;screening;description;delay;duration;groupsize;partner_gender;partner_close;interaction_quality;interaction_intimacy;interaction_control;interaction_intensity;emo_happy;emo_sad;emo_nervous;emo_surprise;emo_angry;emo_embarrassed;emo_ashamed;dataquality
c1nn4w08;EMOTIONALITY;08-Mar-2025 13:10:11;08-Mar-2025 13:03:00;07-Mar-2025 12:43:04;Android 15;CPH2305;true;Verschiedene Interaktionen mit der Familie, unter anderem über Fotos, die Harry Potter Serie, Rassismus, Sportler und Krieg in Europa;1;3;4;2;7;5;3;3;2;3;2;1;2;1;1;1;1
c1nn4w08;EMOTIONALITY;10-Mar-2025 16:59:28;10-Mar-2025 16:59:00;07-Mar-2025 12:43:04;Android 15;CPH2305;false;;;;;;;;;;;;;;;;;;
c1nn4w08;EMOTIONALITY;08-Mar-2025 12:33:53;08-Mar-2025 12:21:00;07-Mar-2025 12:43:04;Android 15;CPH2305;true;Gespräch mit meinen Vater über Musikgeschichte aus den 70ern und 80ern, angestoßen von der Quizfragen auf unserem Kalender (keine Ahnung wer Katja Ebstein sein soll...?) ;1;2;2;2;7;4;2;3;1;4;1;1;3;1;1;1;1
c1nn4w08;EMOTIONALITY;11-Mar-2025 20:09:39;11-Mar-2025 19:09:00;07-Mar-2025 12:43:04;Android 15;CPH2305;true;Konflikt über Objektdefinition;1;1;2;2;7;1;1;3;5;1;1;1;4;5;2;2;1
c1nn4w08;EMOTIONALITY;08-Mar-2025 14:02:58;08-Mar-2025 14:01:00;07-Mar-2025 12:43:04;Android 15;CPH2305;true;Kurzes Gespräch beim Mittagessen, unter anderem über Cookies;1;1;2;1;7;3;1;3;2;2;2;1;1;3;1;1;1
c1nn4w08;EMOTIONALITY;08-Mar-2025 09:56:11;08-Mar-2025 09:56:00;07-Mar-2025 12:43:04;Android 15;CPH2305;false;;;;;;;;;;;;;;;;;;
c1nn4w08;EMOTIONALITY;10-Mar-2025 14:40:17;10-Mar-2025 14:24:00;07-Mar-2025 12:43:04;Android 15;CPH2305;true;Teammeeting;1;4;6;2;3;4;1;5;1;3;1;2;1;1;1;1;1
c1nn4w08;EMOTIONALITY;09-Mar-2025 16:53:40;09-Mar-2025 16:53:00;07-Mar-2025 12:43:04;Android 15;CPH2305;false;;;;;;;;;;;;;;;;;;
c1nn4w08;EMOTIONALITY;08-Mar-2025 10:55:11;08-Mar-2025 10:55:00;07-Mar-2025 12:43:04;Android 15;CPH2305;false;;;;;;;;;;;;;;;;;;
c1nn4w08;EMOTIONALITY;09-Mar-2025 11:11:02;09-Mar-2025 11:09:00;07-Mar-2025 12:43:04;Android 15;CPH2305;true;Kurze Interaktion, Thema Matheaufgaben, Nutzung von ChatGPT und Word;2;2;2;1;7;3;2;3;1;3;1;1;1;1;1;1;1
c1nn4w08;EMOTIONALITY;11-Mar-2025 20:12:42;11-Mar-2025 16:47:00;07-Mar-2025 12:43:04;Android 15;CPH2305;true;Gespräch mit meinem Vater über Sport;2;2;2;2;7;4;1;2;2;4;1;1;1;1;1;1;1
c1nn4w08;EMOTIONALITY;08-Mar-2025 16:56:08;08-Mar-2025 16:56:00;07-Mar-2025 12:43:04;Android 15;CPH2305;false;;;;;;;;;;;;;;;;;;
c1nn4w08;EMOTIONALITY;09-Mar-2025 15:09:25;09-Mar-2025 15:08:00;07-Mar-2025 12:43:04;Android 15;CPH2305;true;Gemeinsames Mittagessen;1;4;4;1;7;4;3;2;4;5;1;1;3;2;1;1;1
c1nn4w08;EMOTIONALITY;10-Mar-2025 19:44:24;10-Mar-2025 19:42:00;07-Mar-2025 12:43:04;Android 15;CPH2305;false;;;;;;;;;;;;;;;;;;
x6mk28vz;EMOTIONALITY;11-Mar-2025 14:02:11;11-Mar-2025 13:59:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;true;Lunch with colleagues;3;3;7;1;1;3;1;3;3;3;1;4;1;1;2;1;1
x6mk28vz;EMOTIONALITY;13-Mar-2025 14:17:36;13-Mar-2025 11:38:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;true;online presentation;1;5;35;2;-1;4;2;-1;5;4;1;5;2;1;4;4;1
x6mk28vz;EMOTIONALITY;11-Mar-2025 11:45:17;11-Mar-2025 11:29:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;false;;;;;;;;;;;;;;;;;;
x6mk28vz;EMOTIONALITY;12-Mar-2025 11:34:03;12-Mar-2025 11:31:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;false;;;;;;;;;;;;;;;;;;
x6mk28vz;EMOTIONALITY;12-Mar-2025 21:05:12;12-Mar-2025 20:21:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;false;;;;;;;;;;;;;;;;;;
x6mk28vz;EMOTIONALITY;12-Mar-2025 12:11:48;12-Mar-2025 12:07:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone12,8;false;;;;;;;;;;;;;;;;;;
